2026-08-09 01:22:27 -  1 - 08 - INFO - Returned settings: Ok(Settings { path: Some("/home/yong/.espressif"), idf_path: None, esp_idf_json_path: Some("/home/yong/.espressif/tools"), tool_download_folder_name: Some("/home/yong/.espressif/dist"), tool_install_folder_name: Some("/home/yong/.espressif/tools"), target: Some(["esp32s3"]), idf_versions: Some(["v5.3.2"]), tools_json_file: Some("tools/tools.json"), config_file: None, config_file_save_path: Some("eim_config.toml"), non_interactive: Some(true), wizard_all_questions: Some(false), mirror: Some("https://github.com"), idf_mirror: Some("https://github.com"), pypi_mirror: Some("https://pypi.org/simple"), recurse_submodules: Some(true), install_all_prerequisites: Some(false), idf_features: None, idf_features_per_version: None, idf_tools: None, idf_tools_per_version: None, repo_stub: None, skip_prerequisites_check: Some(false), version_name: None, cleanup: Some(true), python_env_folder_name: Some("python"), use_local_archive: None, activation_script_path_override: Some("/home/yong/.espressif/tools"), python_version_override: Some("python313") })
2026-08-09 01:22:29 -  1 - 08 - INFO - All prerequisites are satisfied!
2026-08-09 01:22:29 -  1 - 08 - INFO - Running python sanity check
2026-08-09 01:22:30 -  1 - 08 - INFO - Your Python meets the requirements
2026-08-09 01:22:30 -  1 - 08 - INFO - Starting mirror latency checks (2 candidates)...
2026-08-09 01:22:30 -  1 - 08 - INFO - Mirror score: https://github.com -> 118
2026-08-09 01:22:33 -  1 - 08 - WARN - Mirror ping failed with HEAD for https://jihulab.com/esp-mirror
2026-08-09 01:22:33 -  1 - 08 - INFO - Mirror get score: https://github.com -> 91
2026-08-09 01:22:35 -  1 - 08 - INFO - Mirror get score: https://jihulab.com/esp-mirror -> 1863
2026-08-09 01:22:35 -  1 - 08 - INFO - Selected IDF mirror: https://github.com (91 ms)
2026-08-09 01:22:35 -  1 - 08 - INFO - Starting mirror latency checks (3 candidates)...
2026-08-09 01:22:35 -  1 - 08 - INFO - Mirror score: https://github.com -> 87
2026-08-09 01:22:35 -  1 - 08 - INFO - Mirror score: https://dl.espressif.com/github_assets -> 229
2026-08-09 01:22:38 -  1 - 08 - WARN - Mirror ping failed with HEAD for https://dl.espressif.cn/github_assets
2026-08-09 01:22:38 -  1 - 08 - INFO - Mirror get score: https://github.com -> 93
2026-08-09 01:22:38 -  1 - 08 - INFO - Mirror get score: https://dl.espressif.com/github_assets -> 136
2026-08-09 01:22:40 -  1 - 08 - INFO - Mirror get score: https://dl.espressif.cn/github_assets -> 1832
2026-08-09 01:22:40 -  1 - 08 - INFO - Selected Tools mirror: https://github.com (93 ms)
2026-08-09 01:22:40 -  1 - 08 - INFO - Starting mirror latency checks (4 candidates)...
2026-08-09 01:22:40 -  1 - 08 - INFO - Mirror score: https://pypi.org/simple -> 86
2026-08-09 01:22:41 -  1 - 08 - WARN - Mirror ping failed with HEAD for https://mirrors.aliyun.com/pypi/simple
2026-08-09 01:22:41 -  1 - 08 - INFO - Mirror get score: https://pypi.org/simple -> 65
2026-08-09 01:22:41 -  1 - 08 - WARN - Mirror ping failed for https://mirrors.aliyun.com: 403
2026-08-09 01:22:41 -  1 - 08 - INFO - Unable to measure get latency for https://mirrors.aliyun.com/pypi/simple: 3s
2026-08-09 01:22:44 -  1 - 08 - INFO - Mirror get score: https://pypi.tuna.tsinghua.edu.cn/simple -> 2861
2026-08-09 01:22:47 -  1 - 08 - WARN - Mirror ping failed for https://pypi.mirrors.ustc.edu.cn: reqwest::Error { kind: Request, url: "https://pypi.mirrors.ustc.edu.cn/", source: TimedOut }
2026-08-09 01:22:47 -  1 - 08 - INFO - Unable to measure get latency for https://pypi.mirrors.ustc.edu.cn/simple: 3s
2026-08-09 01:22:47 -  1 - 08 - INFO - Selected PyPI mirror: https://pypi.org/simple (65 ms)
Non-interactive mode: selecting all required features by default
2026-08-09 01:22:48 -  1 - 08 - INFO - Non-interactive mode: selecting all tools by default (QEMU excluded)
2026-08-09 01:22:48 -  1 - 08 - INFO - Cloning ESP-IDF
